N,Player,Lexicon,Time4,Time5
1000,LexFirst,Simple,94.694,141.02
10000,LexFirst,Simple,938.578,1441.864
1000,LexFirst,Trie,175.373,208.017
10000,LexFirst,Trie,1611.866,2033.736
1000,LexFirst,Binary,94.727,140.398
10000,LexFirst,Binary,938.522,1464.311
1000,BoardFirst,Simple,2.076,5.167
10000,BoardFirst,Simple,18.802,47.792
1000,BoardFirst,Trie,1.697,2.567
10000,BoardFirst,Trie,8.739,20.602
1000,BoardFirst,Binary,1.853,3.76
10000,BoardFirst,Binary,11.969,31.123
