Class,                splicee,      recomb,memsize,dna_length,time1,time2,time3
SimpleStrand:,256,4800471,1024,4639221,0.216,0.219,0.207
SimpleStrand:,512,4965591,1024,4639221,0.191,0.202,0.211
SimpleStrand:,1024,5295831,1024,4639221,0.302,0.323,0.285
SimpleStrand:,2048,5956311,1024,4639221,0.151,0.187,0.19
SimpleStrand:,4096,7277271,1024,4639221,0.181,0.206,0.198
SimpleStrand:,8192,9919191,1024,4639221,0.278,0.31,0.31
SimpleStrand:,16384,15203031,1024,4639221,0.397,0.35,0.391
SimpleStrand:,32768,25770711,1024,4639221,0.641,0.613,0.648
SimpleStrand:,65536,46906071,1024,4639221,0.949,1.057,0.947
SimpleStrand:,131072,89176791,1024,4639221,1.561,1.731,1.621
SimpleStrand:,262144,173718231,1024,4639221,3.441,3.49,2.952
