Class,                splicee,      recomb,memsize,dna_length,time1,time2,time3
SimpleStrand:,256,4800471,default,4639221,0.149,0.152,0.154
SimpleStrand:,512,4965591,default,4639221,0.213,0.143,0.154
SimpleStrand:,1024,5295831,default,4639221,0.176,0.185,0.196
SimpleStrand:,2048,5956311,default,4639221,0.136,0.121,0.121
SimpleStrand:,4096,7277271,default,4639221,0.132,0.129,0.131
SimpleStrand:,8192,9919191,default,4639221,0.213,0.246,0.214
SimpleStrand:,16384,15203031,default,4639221,0.257,0.244,0.256
